"Statistic Label","Day","Local Electoral Area 2019","UNIT","VALUE"
"Number of arrivals from Ukraine","2022 December 12","All Local Electoral Areas","Number","64168"
"Number of arrivals from Ukraine","2022 December 12","Borris-In-Ossory-Mountmellick, Laois","Number","168"
"Number of arrivals from Ukraine","2022 December 12","Portlaoise, Laois","Number","323"
"Number of arrivals from Ukraine","2022 December 12","Graiguecullen -Portarlington, Laois","Number","298"
"Number of arrivals from Ukraine","2022 December 12","Carlow, Carlow","Number","708"
"Number of arrivals from Ukraine","2022 December 12","Tullow, Carlow","Number","115"
"Number of arrivals from Ukraine","2022 December 12","Muinebeag, Carlow","Number","49"
"Number of arrivals from Ukraine","2022 December 12","Manorhamilton, Leitrim","Number","218"
"Number of arrivals from Ukraine","2022 December 12","Ballinamore, Leitrim","Number","640"
"Number of arrivals from Ukraine","2022 December 12","Carrick-On-Shannon, Leitrim","Number","401"
"Number of arrivals from Ukraine","2022 December 12","Newcastle West, Limerick","Number","260"
"Number of arrivals from Ukraine","2022 December 12","Adare-Rathkeale, Limerick","Number","170"
"Number of arrivals from Ukraine","2022 December 12","Cappamore-Kilmallock, Limerick","Number","368"
"Number of arrivals from Ukraine","2022 December 12","Limerick City West, Limerick","Number","790"
"Number of arrivals from Ukraine","2022 December 12","Limerick City North, Limerick","Number","383"
"Number of arrivals from Ukraine","2022 December 12","Limerick City East, Limerick","Number","330"
"Number of arrivals from Ukraine","2022 December 12","Granard, Longford","Number","107"
"Number of arrivals from Ukraine","2022 December 12","Ballymahon, Longford","Number","138"
"Number of arrivals from Ukraine","2022 December 12","Longford, Longford","Number","184"
"Number of arrivals from Ukraine","2022 December 12","Dundalk-Carlingford, Louth","Number","439"
"Number of arrivals from Ukraine","2022 December 12","Dundalk South, Louth","Number","397"
"Number of arrivals from Ukraine","2022 December 12","Ardee, Louth","Number","199"
"Number of arrivals from Ukraine","2022 December 12","Drogheda Rural, Louth","Number","122"
"Number of arrivals from Ukraine","2022 December 12","Drogheda Urban, Louth","Number","483"
"Number of arrivals from Ukraine","2022 December 12","Ballina, Mayo","Number","544"
"Number of arrivals from Ukraine","2022 December 12","Claremorris, Mayo","Number","363"
"Number of arrivals from Ukraine","2022 December 12","Castlebar, Mayo","Number","912"
"Number of arrivals from Ukraine","2022 December 12","Belmullet, Mayo","Number","291"
"Number of arrivals from Ukraine","2022 December 12","Westport, Mayo","Number","971"
"Number of arrivals from Ukraine","2022 December 12","Swinford, Mayo","Number","88"
"Number of arrivals from Ukraine","2022 December 12","Kells, Meath","Number","286"
"Number of arrivals from Ukraine","2022 December 12","Laytown-Bettystown, Meath","Number","275"
"Number of arrivals from Ukraine","2022 December 12","Ashbourne, Meath","Number","766"
"Number of arrivals from Ukraine","2022 December 12","Ratoath, Meath","Number","190"
"Number of arrivals from Ukraine","2022 December 12","Trim, Meath","Number","108"
"Number of arrivals from Ukraine","2022 December 12","Navan, Meath","Number","210"
"Number of arrivals from Ukraine","2022 December 12","Monaghan, Monaghan","Number","126"
"Number of arrivals from Ukraine","2022 December 12","Carrickmacross-Castleblayney, Monaghan","Number","134"
"Number of arrivals from Ukraine","2022 December 12","Ballybay-Clones, Monaghan","Number","158"
"Number of arrivals from Ukraine","2022 December 12","Birr, Offaly","Number","123"
"Number of arrivals from Ukraine","2022 December 12","Tullamore, Offaly","Number","434"
"Number of arrivals from Ukraine","2022 December 12","Edenderry, Offaly","Number","62"
"Number of arrivals from Ukraine","2022 December 12","Boyle, Roscommon","Number","397"
"Number of arrivals from Ukraine","2022 December 12","Roscommon, Roscommon","Number","291"
"Number of arrivals from Ukraine","2022 December 12","Athlone, Roscommon","Number","19"
